N	mop_num	b_lon	b_lat	p_lon	p_lat	depth	orient	shore_type
7344	SC142	-122.02250	36.96260	-122.00674	36.94773	-15.00	139.73	2
7345	SC143	-122.02430	36.96150	-122.00674	36.94773	-15.00	134.46	2
7346	SC144	-122.02530	36.96000	-122.00674	36.94773	-15.00	129.60	2
7347	SC145	-122.02560	36.95820	-122.00674	36.94773	-15.00	124.79	2
7348	SC146	-122.02480	36.95650	-122.00674	36.94773	-15.00	121.28	2
7349	SC147	-122.02450	36.95490	-122.00674	36.94773	-15.00	116.80	2
7350	SC148	-122.02500	36.95320	-122.01034	36.94773	-15.00	115.03	2
7351	SC149	-122.02590	36.95160	-122.02122	36.94873	-15.00	127.50	2
7352	SC150	-122.02700	36.95080	-122.02505	36.94408	-15.03	166.94	2
7353	SC151	-122.02860	36.95170	-122.03112	36.94341	-15.00	193.66	1
7354	SC152	-122.03070	36.95150	-122.03237	36.94353	-15.00	189.51	2
7355	SC153	-122.03270	36.95180	-122.03380	36.94343	-15.00	186.00	1
7356	SC154	-122.03490	36.95180	-122.03584	36.94112	-15.36	184.02	2
